,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-12-26,3988.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,333.0,ITM_0
1,2022-12-26,3988.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,286.0,OTM_0
2,2022-12-26,3988.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,292.5,ATM_0
3,2022-12-26,3988.0,CALL,XSGE.RB2310,3850.0,0,1,SHFE.rb2310C3850,RB,358.0,ITM_1
4,2022-12-26,3988.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,275.0,OTM_1
5,2022-12-26,3988.0,CALL,XSGE.RB2310,3800.0,0,1,SHFE.rb2310C3800,RB,385.0,ITM_2
6,2022-12-26,3988.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,244.5,OTM_2
7,2022-12-26,3988.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,317.0,ITM_0
8,2022-12-26,3988.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,264.5,OTM_0
9,2022-12-26,3988.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,290.0,ATM_0
10,2022-12-26,3988.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,345.0,ITM_1
11,2022-12-26,3988.0,PUT,XSGE.RB2310,3850.0,0,1,SHFE.rb2310P3850,RB,240.0,OTM_1
12,2022-12-26,3988.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,374.5,ITM_2
13,2022-12-26,3988.0,PUT,XSGE.RB2310,3800.0,0,1,SHFE.rb2310P3800,RB,217.5,OTM_2
14,2022-12-27,4046.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,297.0,ITM_0
15,2022-12-27,4046.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,260.0,OTM_0
16,2022-12-27,4046.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,300.0,ATM_0
17,2022-12-27,4046.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,319.0,ITM_1
18,2022-12-27,4046.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,236.5,OTM_1
19,2022-12-27,4046.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,342.0,ITM_2
20,2022-12-27,4046.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,219.0,OTM_2
21,2022-12-27,4046.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,361.5,ITM_0
22,2022-12-27,4046.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,275.0,OTM_0
23,2022-12-27,4046.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,303.0,ATM_0
24,2022-12-27,4046.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,392.5,ITM_1
25,2022-12-27,4046.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,253.5,OTM_1
26,2022-12-27,4046.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,423.5,ITM_2
27,2022-12-27,4046.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,232.5,OTM_2
28,2022-12-28,4032.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,317.5,ITM_0
29,2022-12-28,4032.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,273.0,OTM_0
30,2022-12-28,4032.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,291.0,ATM_0
31,2022-12-28,4032.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,334.0,ITM_1
32,2022-12-28,4032.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,253.5,OTM_1
33,2022-12-28,4032.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,364.0,ITM_2
34,2022-12-28,4032.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,240.0,OTM_2
35,2022-12-28,4032.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,333.0,ITM_0
36,2022-12-28,4032.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,280.0,OTM_0
37,2022-12-28,4032.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,305.5,ATM_0
38,2022-12-28,4032.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,374.0,ITM_1
39,2022-12-28,4032.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,256.0,OTM_1
40,2022-12-28,4032.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,393.5,ITM_2
41,2022-12-28,4032.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,236.5,OTM_2
42,2022-12-29,4029.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,333.5,ITM_0
43,2022-12-29,4029.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,294.0,OTM_0
44,2022-12-29,4029.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,299.5,ATM_0
45,2022-12-29,4029.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,360.5,ITM_1
46,2022-12-29,4029.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,268.0,OTM_1
47,2022-12-29,4029.0,CALL,XSGE.RB2310,3850.0,0,1,SHFE.rb2310C3850,RB,391.5,ITM_2
48,2022-12-29,4029.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,247.5,OTM_2
49,2022-12-29,4029.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,310.5,ITM_0
50,2022-12-29,4029.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,260.0,OTM_0
51,2022-12-29,4029.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,284.5,ATM_0
52,2022-12-29,4029.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,338.0,ITM_1
53,2022-12-29,4029.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,237.0,OTM_1
54,2022-12-29,4029.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,366.5,ITM_2
55,2022-12-29,4029.0,PUT,XSGE.RB2310,3850.0,0,1,SHFE.rb2310P3850,RB,214.5,OTM_2
56,2022-12-30,4085.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,339.0,ITM_0
57,2022-12-30,4085.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,280.5,OTM_0
58,2022-12-30,4085.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,309.0,ATM_0
59,2022-12-30,4085.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,321.0,ITM_1
60,2022-12-30,4085.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,269.5,OTM_1
61,2022-12-30,4085.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,365.5,ITM_2
62,2022-12-30,4085.0,CALL,XSGE.RB2310,4250.0,0,1,SHFE.rb2310C4250,RB,249.5,OTM_2
63,2022-12-30,4085.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,360.0,ITM_0
64,2022-12-30,4085.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,300.5,OTM_0
65,2022-12-30,4085.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,322.0,ATM_0
66,2022-12-30,4085.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,384.0,ITM_1
67,2022-12-30,4085.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,271.0,OTM_1
68,2022-12-30,4085.0,PUT,XSGE.RB2310,4250.0,0,1,SHFE.rb2310P4250,RB,404.5,ITM_2
69,2022-12-30,4085.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,248.5,OTM_2
70,2023-01-03,4040.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,329.0,ITM_0
71,2023-01-03,4040.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,276.0,OTM_0
72,2023-01-03,4040.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,304.0,ATM_0
73,2023-01-03,4040.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,345.5,ITM_1
74,2023-01-03,4040.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,263.0,OTM_1
75,2023-01-03,4040.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,372.5,ITM_2
76,2023-01-03,4040.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,240.0,OTM_2
77,2023-01-03,4040.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,353.5,ITM_0
78,2023-01-03,4040.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,290.0,OTM_0
79,2023-01-03,4040.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,323.0,ATM_0
80,2023-01-03,4040.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,372.0,ITM_1
81,2023-01-03,4040.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,266.0,OTM_1
82,2023-01-03,4040.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,392.0,ITM_2
83,2023-01-03,4040.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,242.0,OTM_2
84,2023-01-04,3999.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,341.0,ITM_0
85,2023-01-04,3999.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,277.5,OTM_0
86,2023-01-04,3999.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,314.0,ATM_0
87,2023-01-04,3999.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,365.5,ITM_1
88,2023-01-04,3999.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,273.0,OTM_1
89,2023-01-04,3999.0,CALL,XSGE.RB2310,3850.0,0,1,SHFE.rb2310C3850,RB,392.5,ITM_2
90,2023-01-04,3999.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,252.5,OTM_2
91,2023-01-04,3999.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,332.0,ITM_0
92,2023-01-04,3999.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,276.5,OTM_0
93,2023-01-04,3999.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,307.5,ATM_0
94,2023-01-04,3999.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,357.5,ITM_1
95,2023-01-04,3999.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,255.5,OTM_1
96,2023-01-04,3999.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,389.0,ITM_2
97,2023-01-04,3999.0,PUT,XSGE.RB2310,3850.0,0,1,SHFE.rb2310P3850,RB,229.0,OTM_2
98,2023-01-05,3968.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,335.0,ITM_0
99,2023-01-05,3968.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,288.0,OTM_0
100,2023-01-05,3968.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,293.5,ATM_0
101,2023-01-05,3968.0,CALL,XSGE.RB2310,3850.0,0,1,SHFE.rb2310C3850,RB,360.0,ITM_1
102,2023-01-05,3968.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,266.0,OTM_1
103,2023-01-05,3968.0,CALL,XSGE.RB2310,3800.0,0,1,SHFE.rb2310C3800,RB,386.5,ITM_2
104,2023-01-05,3968.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,243.0,OTM_2
105,2023-01-05,3968.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,321.0,ITM_0
106,2023-01-05,3968.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,271.0,OTM_0
107,2023-01-05,3968.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,298.0,ATM_0
108,2023-01-05,3968.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,351.5,ITM_1
109,2023-01-05,3968.0,PUT,XSGE.RB2310,3850.0,0,1,SHFE.rb2310P3850,RB,241.0,OTM_1
110,2023-01-05,3968.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,379.5,ITM_2
111,2023-01-05,3968.0,PUT,XSGE.RB2310,3800.0,0,1,SHFE.rb2310P3800,RB,219.5,OTM_2
112,2023-01-06,4057.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,332.5,ITM_0
113,2023-01-06,4057.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,286.0,OTM_0
114,2023-01-06,4057.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,309.0,ATM_0
115,2023-01-06,4057.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,358.0,ITM_1
116,2023-01-06,4057.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,269.5,OTM_1
117,2023-01-06,4057.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,384.5,ITM_2
118,2023-01-06,4057.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,245.0,OTM_2
119,2023-01-06,4057.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,334.0,ITM_0
120,2023-01-06,4057.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,290.5,OTM_0
121,2023-01-06,4057.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,307.0,ATM_0
122,2023-01-06,4057.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,359.5,ITM_1
123,2023-01-06,4057.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,280.5,OTM_1
124,2023-01-06,4057.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,395.5,ITM_2
125,2023-01-06,4057.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,243.5,OTM_2
126,2023-01-09,4039.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,318.5,ITM_0
127,2023-01-09,4039.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,281.5,OTM_0
128,2023-01-09,4039.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,306.5,ATM_0
129,2023-01-09,4039.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,344.0,ITM_1
130,2023-01-09,4039.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,257.0,OTM_1
131,2023-01-09,4039.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,373.5,ITM_2
132,2023-01-09,4039.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,237.0,OTM_2
133,2023-01-09,4039.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,349.0,ITM_0
134,2023-01-09,4039.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,287.0,OTM_0
135,2023-01-09,4039.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,312.5,ATM_0
136,2023-01-09,4039.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,371.5,ITM_1
137,2023-01-09,4039.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,270.5,OTM_1
138,2023-01-09,4039.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,398.5,ITM_2
139,2023-01-09,4039.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,240.0,OTM_2
140,2023-01-10,4067.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,329.5,ITM_0
141,2023-01-10,4067.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,280.5,OTM_0
142,2023-01-10,4067.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,302.5,ATM_0
143,2023-01-10,4067.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,357.5,ITM_1
144,2023-01-10,4067.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,257.0,OTM_1
145,2023-01-10,4067.0,CALL,XSGE.RB2310,3900.0,0,1,SHFE.rb2310C3900,RB,378.5,ITM_2
146,2023-01-10,4067.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,243.0,OTM_2
147,2023-01-10,4067.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,331.5,ITM_0
148,2023-01-10,4067.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,279.5,OTM_0
149,2023-01-10,4067.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,307.0,ATM_0
150,2023-01-10,4067.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,362.5,ITM_1
151,2023-01-10,4067.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,257.0,OTM_1
152,2023-01-10,4067.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,391.0,ITM_2
153,2023-01-10,4067.0,PUT,XSGE.RB2310,3900.0,0,1,SHFE.rb2310P3900,RB,235.0,OTM_2
154,2023-01-11,4110.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,321.0,ITM_0
155,2023-01-11,4110.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,274.0,OTM_0
156,2023-01-11,4110.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,298.5,ATM_0
157,2023-01-11,4110.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,347.5,ITM_1
158,2023-01-11,4110.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,254.0,OTM_1
159,2023-01-11,4110.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,375.5,ITM_2
160,2023-01-11,4110.0,CALL,XSGE.RB2310,4250.0,0,1,SHFE.rb2310C4250,RB,232.5,OTM_2
161,2023-01-11,4110.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,313.0,ITM_0
162,2023-01-11,4110.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,260.5,OTM_0
163,2023-01-11,4110.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,290.0,ATM_0
164,2023-01-11,4110.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,338.5,ITM_1
165,2023-01-11,4110.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,242.0,OTM_1
166,2023-01-11,4110.0,PUT,XSGE.RB2310,4250.0,0,1,SHFE.rb2310P4250,RB,368.0,ITM_2
167,2023-01-11,4110.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,218.5,OTM_2
168,2023-01-12,4089.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,307.5,ITM_0
169,2023-01-12,4089.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,261.0,OTM_0
170,2023-01-12,4089.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,278.5,ATM_0
171,2023-01-12,4089.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,331.5,ITM_1
172,2023-01-12,4089.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,240.5,OTM_1
173,2023-01-12,4089.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,344.0,ITM_2
174,2023-01-12,4089.0,CALL,XSGE.RB2310,4250.0,0,1,SHFE.rb2310C4250,RB,220.5,OTM_2
175,2023-01-12,4089.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,320.0,ITM_0
176,2023-01-12,4089.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,265.0,OTM_0
177,2023-01-12,4089.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,290.0,ATM_0
178,2023-01-12,4089.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,344.5,ITM_1
179,2023-01-12,4089.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,245.0,OTM_1
180,2023-01-12,4089.0,PUT,XSGE.RB2310,4250.0,0,1,SHFE.rb2310P4250,RB,373.5,ITM_2
181,2023-01-12,4089.0,PUT,XSGE.RB2310,3950.0,0,1,SHFE.rb2310P3950,RB,228.0,OTM_2
182,2023-01-13,4121.0,CALL,XSGE.RB2310,4050.0,0,1,SHFE.rb2310C4050,RB,318.5,ITM_0
183,2023-01-13,4121.0,CALL,XSGE.RB2310,4150.0,0,1,SHFE.rb2310C4150,RB,272.0,OTM_0
184,2023-01-13,4121.0,CALL,XSGE.RB2310,4100.0,0,1,SHFE.rb2310C4100,RB,298.0,ATM_0
185,2023-01-13,4121.0,CALL,XSGE.RB2310,4000.0,0,1,SHFE.rb2310C4000,RB,343.0,ITM_1
186,2023-01-13,4121.0,CALL,XSGE.RB2310,4200.0,0,1,SHFE.rb2310C4200,RB,242.5,OTM_1
187,2023-01-13,4121.0,CALL,XSGE.RB2310,3950.0,0,1,SHFE.rb2310C3950,RB,370.0,ITM_2
188,2023-01-13,4121.0,CALL,XSGE.RB2310,4250.0,0,1,SHFE.rb2310C4250,RB,229.0,OTM_2
189,2023-01-13,4121.0,PUT,XSGE.RB2310,4150.0,0,1,SHFE.rb2310P4150,RB,311.5,ITM_0
190,2023-01-13,4121.0,PUT,XSGE.RB2310,4050.0,0,1,SHFE.rb2310P4050,RB,250.0,OTM_0
191,2023-01-13,4121.0,PUT,XSGE.RB2310,4100.0,0,1,SHFE.rb2310P4100,RB,286.0,ATM_0
192,2023-01-13,4121.0,PUT,XSGE.RB2310,4200.0,0,1,SHFE.rb2310P4200,RB,342.5,ITM_1
193,2023-01-13,4121.0,PUT,XSGE.RB2310,4000.0,0,1,SHFE.rb2310P4000,RB,242.0,OTM_1
194,2023-01-13,4121.0,PUT,XSGE.RB2310,4250.0,0,1,SHFE.rb2310P4250,RB,376.0,ITM_2
